"TARGET_ID";"TREE_LEVEL";"TREE_PATH";"STAGING_PATH";"STAGING_DIMENSION";"NAME";"STARTDATE_STAGING_PATH";"ENDDATE_STAGING_PATH";"VISUALATTRIBUTES"
"21";"0";"\i2b2\";"\i2b2\";"CONCEPT_DIMENSION";"i2b2";"";"";"FAE"
"21";"1";"\i2b2\AUFNAHMEANLASS\";"\i2b2\PD\1fall\AUFNAHMEANLASS\";"CONCEPT_DIMENSION";"AUFNAHMEANLASS";;;"FAE"
"21";"2";"\i2b2\AUFNAHMEANLASS\A\";"\i2b2\PD\1fall\AUFNAHMEANLASS\A\";"CONCEPT_DIMENSION";"A";;;"LAE"
"21";"2";"\i2b2\AUFNAHMEANLASS\E\";"\i2b2\PD\1fall\AUFNAHMEANLASS\E\";"CONCEPT_DIMENSION";"E";;;"LAE"
"21";"2";"\i2b2\AUFNAHMEANLASS\N\";"\i2b2\PD\1fall\AUFNAHMEANLASS\N\";"CONCEPT_DIMENSION";"N";;;"LAE"
"21";"2";"\i2b2\AUFNAHMEANLASS\G\";"\i2b2\PD\1fall\AUFNAHMEANLASS\G\";"CONCEPT_DIMENSION";"G";;;"LAE"
"21";"2";"\i2b2\AUFNAHMEANLASS\V\";"\i2b2\PD\1fall\AUFNAHMEANLASS\V\";"CONCEPT_DIMENSION";"V";;;"LAE"
