"HLEVEL"	"Name"	"Tooltip"	"Path"	"DataType"	"Update_Date"	"Import_Date"	"Download_Date"	"PathID"	"visual"	"itemCode"	"source"	"xml"	"m_applied_path"
"0"	"Ontology"	"Ontology"	"\null\"	""	""	""	""	""	"FA"	""	""	""	"@"
"1"	"Modifier"	"Modifier"	"\null\mod\"	""	""	""	""	""	"FA"	""	""	""	"@"
"2"	"Chili"	"Chili"	"\null\mod\Chili\"	""	""	""	""	""	"FA"	""	""	""	"@"
"1"	"internal ID"		"\Chili_internal ID\"	"Integer"	""	""	""	"Chili_internal ID"	"DA"	""	""	""	"\null\mod\Chili\"
"1"	"Study Date"		"\Chili_Study Date\"	"String"	""	""	""	"Chili_Study Date"	"DA"	""	""	""	"\null\mod\Chili\"
"1"	"Type"		"\Chili_Type\"	"String"	""	""	""	"Chili_Type"	"DA"	""	""	""	"\null\mod\Chili\"
"1"	"Device Manufacturer"		"\Chili_Device Manufacturer\"	"String"	""	""	""	"Chili_Device Manufacturer"	"DA"	""	""	""	"\null\mod\Chili\"
"1"	"Magnetic Fieldstrength"		"\Chili_Magnetic Fieldstrength\"	"String"	""	""	""	"Chili_Magnetic Fieldstrength"	"DA"	""	""	""	"\null\mod\Chili\"
