"C_HLEVEL"	"C_FULLNAME"	"C_NAME"	"C_SYNONYM_CD"	"C_VISUALATTRIBUTES"	"C_TOTALNUM"	"C_BASECODE"	"C_METADATAXML"	"C_FACTTABLECOLUMN"	"C_TABLENAME"	"C_COLUMNNAME"	"C_COLUMNDATATYPE"	"C_OPERATOR"	"C_DIMCODE"	"C_COMMENT"	"C_TOOLTIP"	"M_APPLIED_PATH"	"UPDATE_DATE"	"DOWNLOAD_DATE"	"IMPORT_DATE"	"SOURCESYSTEM_CD"	"VALUETYPE_CD"	"M_EXCLUSION_CD"	"C_PATH"	"C_SYMBOL"
2	"\i2b2\ST\P21\"	"Paragraph 21"	"N"	"FA "	""	""	""	"concept_cd"	"concept_dimension"	"concept_path"	"T"	"LIKE"	"\i2b2\ST\P21\"	""	"Standardterminologien"	"@"	2012-11-14 15:00:03	2012-11-14 15:00:03	2012-11-14 15:00:03	"P21"	""	""	""	""
3	"\i2b2\ST\P21\GSCHL\"	"Geschlecht"	"N"	"FA "	""	""	""	"concept_cd"	"concept_dimension"	"concept_path"	"T"	"LIKE"	"\i2b2\ST\P21\GSCHL\"	""	"Geschlecht"	"@"	2012-11-14 15:00:03	2012-11-14 15:00:03	2012-11-14 15:00:03	"P21"	""	""	""	""
3	"\i2b2\ST\P21\AUFNGR\"	"Aufnahmegrund (P301)"	"N"	"FA "	""	""	""	"concept_cd"	"concept_dimension"	"concept_path"	"T"	"LIKE"	"\i2b2\ST\P21\AUFNGR\"	""	"Aufnahmegrund (P301)"	"@"	2012-11-14 15:00:03	2012-11-14 15:00:03	2012-11-14 15:00:03	"P21"	""	""	""	""
3	"\i2b2\ST\P21\AUFNAN\"	"Aufnahmeanlass (DRG)"	"N"	"FA "	""	""	""	"concept_cd"	"concept_dimension"	"concept_path"	"T"	"LIKE"	"\i2b2\ST\P21\AUFNAN\"	""	"Aufnahmeanlass (DRG)"	"@"	2012-11-14 15:00:03	2012-11-14 15:00:03	2012-11-14 15:00:03	"P21"	""	""	""	""
3	"\i2b2\ST\P21\ENTLGR\"	"Entlassungsgrund (P301)"	"N"	"FA "	""	""	""	"concept_cd"	"concept_dimension"	"concept_path"	"T"	"LIKE"	"\i2b2\ST\P21\ENTLGR\"	""	"Entlassungsgrund (P301)"	"@"	2012-11-14 15:00:03	2012-11-14 15:00:03	2012-11-14 15:00:03	"P21"	""	""	""	""
3	"\i2b2\ST\P21\FACHABT\"	"Fachabteilung (P301)"	"N"	"FA "	""	""	""	"concept_cd"	"concept_dimension"	"concept_path"	"T"	"LIKE"	"\i2b2\ST\P21\FACHABT\"	""	"Fachabteilung (P301)"	"@"	2012-11-14 15:00:03	2012-11-14 15:00:03	2012-11-14 15:00:03	"P21"	""	""	""	""
